niter,enrichment,pcv,seqdepth,targetNreads,Filenames
56,0.3,1,19997804,5999341,GCA_020423475.1.fna_post_extract.fna
57,0.3,1,19995971,5998791,GCA_018593635.1.fna_post_extract.fna
58,0.3,1,19996828,5999048,GCA_009849145.1.fna_post_extract.fna
59,0.3,1,20002769,6000831,GCA_018593865.1.fna_post_extract.fna
60,0.3,1,19999972,5999992,GCA_009849955.1.fna_post_extract.fna
61,0.3,1,19994540,5998362,GCA_009851715.1.fna_post_extract.fna
62,0.3,1,19996499,5998950,GCA_009851805.1.fna_post_extract.fna
63,0.3,1,20000025,6000008,GCA_029855585.1.fna_post_extract.fna
64,0.3,1,20001723,6000517,GCA_018594025.1.fna_post_extract.fna
65,0.3,1,19998342,5999503,GCA_018593855.1.fna_post_extract.fna
66,0.3,1,19996563,5998969,GCA_009850255.1.fna_post_extract.fna
67,0.3,1,20001483,6000445,GCA_009852345.1.fna_post_extract.fna
68,0.3,1,20004905,6001472,GCA_009851795.1.fna_post_extract.fna
69,0.3,1,20001946,6000584,GCA_029855825.1.fna_post_extract.fna
70,0.3,1,19998542,5999563,GCA_020423455.1.fna_post_extract.fna
71,0.3,1,20000922,6000277,GCA_009849185.1.fna_post_extract.fna
72,0.3,1,19997813,5999344,GCA_018594035.1.fna_post_extract.fna
73,0.3,1,20001067,6000320,GCA_009848805.1.fna_post_extract.fna
74,0.3,1,19997191,5999157,GCA_018593865.1.fna_post_extract.fna
75,0.3,1,20005779,6001734,GCA_009849235.1.fna_post_extract.fna
76,0.3,1,19997926,5999378,GCA_009849495.1.fna_post_extract.fna
77,0.3,1,20006854,6002056,GCA_009849325.1.fna_post_extract.fna
78,0.3,1,19998945,5999684,GCA_009852095.1.fna_post_extract.fna
79,0.3,1,20000821,6000246,GCA_009848995.1.fna_post_extract.fna
80,0.3,1,20007954,6002386,GCA_009849495.1.fna_post_extract.fna
81,0.3,1,20000168,6000050,GCA_009851845.1.fna_post_extract.fna
82,0.3,1,20005260,6001578,GCA_009850005.1.fna_post_extract.fna
83,0.3,1,19997502,5999251,GCA_018593965.1.fna_post_extract.fna
84,0.3,1,19999798,5999939,GCA_009850065.1.fna_post_extract.fna
85,0.3,1,20002021,6000606,GCA_018594155.1.fna_post_extract.fna
86,0.3,1,20002356,6000707,GCA_018593635.1.fna_post_extract.fna
87,0.3,1,19998970,5999691,GCA_009851565.1.fna_post_extract.fna
88,0.3,1,19997426,5999228,GCA_018593965.1.fna_post_extract.fna
89,0.3,1,20002171,6000651,GCA_009850065.1.fna_post_extract.fna
90,0.3,1,19998811,5999643,GCA_009849125.1.fna_post_extract.fna
91,0.3,1,20002322,6000697,GCA_020423455.1.fna_post_extract.fna
92,0.3,1,20001346,6000404,GCA_018594125.1.fna_post_extract.fna
93,0.3,1,20000472,6000142,GCA_018594075.1.fna_post_extract.fna
94,0.3,1,19997134,5999140,GCA_018593755.1.fna_post_extract.fna
95,0.3,1,20004301,6001290,GCA_009849195.1.fna_post_extract.fna
96,0.3,1,20003818,6001145,GCA_018593415.1.fna_post_extract.fna
97,0.3,1,20001872,6000562,GCA_009850005.1.fna_post_extract.fna
98,0.3,1,20001520,6000456,GCA_009849105.1.fna_post_extract.fna
99,0.3,1,20002667,6000800,GCA_009850145.1.fna_post_extract.fna
100,0.3,1,20008369,6002511,GCA_018593995.1.fna_post_extract.fna
101,0.3,1,20002696,6000809,GCA_009851845.1.fna_post_extract.fna
102,0.3,1,19996573,5998972,GCA_009850255.1.fna_post_extract.fna
103,0.3,1,20000348,6000104,GCA_018592035.1.fna_post_extract.fna
104,0.3,1,19995698,5998709,GCA_018593935.1.fna_post_extract.fna
105,0.3,1,20004997,6001499,GCA_018593595.1.fna_post_extract.fna
106,0.3,1,20005299,6001590,GCA_018593675.1.fna_post_extract.fna
107,0.3,1,20007363,6002209,GCA_009849505.1.fna_post_extract.fna
108,0.3,1,20000863,6000259,GCA_009849935.1.fna_post_extract.fna
109,0.3,1,19998244,5999473,GCA_009848935.1.fna_post_extract.fna
110,0.3,1,20005059,6001518,GCA_009848995.1.fna_post_extract.fna
111,0.3,1,19993467,5998040,GCA_009849555.1.fna_post_extract.fna
112,0.3,1,20002811,6000843,GCA_009850125.1.fna_post_extract.fna
113,0.3,1,19999623,5999887,GCA_018594125.1.fna_post_extract.fna
114,0.3,1,20003138,6000941,GCA_018593955.1.fna_post_extract.fna
115,0.3,1,19998827,5999648,GCA_009848825.1.fna_post_extract.fna
116,0.3,1,19998819,5999646,GCA_009848805.1.fna_post_extract.fna
117,0.3,1,19992837,5997851,GCA_009852285.1.fna_post_extract.fna
118,0.3,1,19994287,5998286,GCA_018593735.1.fna_post_extract.fna
119,0.3,1,20003076,6000923,GCA_016452505.1.fna_post_extract.fna
120,0.3,1,20009391,6002817,GCA_009849145.1.fna_post_extract.fna
121,0.3,1,19994244,5998273,GCA_009849545.1.fna_post_extract.fna
122,0.3,1,19989498,5996849,GCA_009849385.1.fna_post_extract.fna
123,0.3,1,20001485,6000446,GCA_009848855.1.fna_post_extract.fna
124,0.3,1,19995490,5998647,GCA_009851795.1.fna_post_extract.fna
125,0.3,1,19999913,5999974,GCA_009848875.1.fna_post_extract.fna
126,0.3,1,20002517,6000755,GCA_009851745.1.fna_post_extract.fna
127,0.3,1,19998334,5999500,GCA_009848805.1.fna_post_extract.fna
128,0.3,1,19996808,5999042,GCA_018594035.1.fna_post_extract.fna
129,0.3,1,20004707,6001412,GCA_009849505.1.fna_post_extract.fna
130,0.3,1,19995307,5998592,GCA_009849185.1.fna_post_extract.fna
131,0.3,1,19991822,5997547,GCA_018593715.1.fna_post_extract.fna
132,0.3,1,19998135,5999440,GCA_029855605.1.fna_post_extract.fna
133,0.3,1,19997476,5999243,GCA_009849375.1.fna_post_extract.fna
134,0.3,1,19997836,5999351,GCA_009848775.1.fna_post_extract.fna
135,0.3,1,20001620,6000486,GCA_009849125.1.fna_post_extract.fna
136,0.3,1,20008994,6002698,GCA_009851965.1.fna_post_extract.fna
137,0.3,1,19994731,5998419,GCA_009849385.1.fna_post_extract.fna
138,0.3,1,19999847,5999954,GCA_009849245.1.fna_post_extract.fna
139,0.3,1,19998731,5999619,GCA_009848805.1.fna_post_extract.fna
140,0.3,1,19995098,5998529,GCA_009849235.1.fna_post_extract.fna
141,0.3,1,19995608,5998682,GCA_018593995.1.fna_post_extract.fna
142,0.3,1,20001952,6000586,GCA_020423455.1.fna_post_extract.fna
143,0.3,1,19997950,5999385,GCA_020423435.1.fna_post_extract.fna
144,0.3,1,19996120,5998836,GCA_016453425.1.fna_post_extract.fna
145,0.3,1,19998436,5999531,GCA_009851925.1.fna_post_extract.fna
146,0.3,1,19990598,5997179,GCA_009849885.1.fna_post_extract.fna
147,0.3,1,19999118,5999735,GCA_009849555.1.fna_post_extract.fna
148,0.3,1,19999495,5999848,GCA_009848705.1.fna_post_extract.fna
149,0.3,1,20003372,6001012,GCA_029855465.1.fna_post_extract.fna
150,0.3,1,19997767,5999330,GCA_009851825.1.fna_post_extract.fna
151,0.3,1,20003170,6000951,GCA_009851845.1.fna_post_extract.fna
152,0.3,1,20003292,6000988,GCA_018594015.1.fna_post_extract.fna
153,0.3,1,20006107,6001832,GCA_009849015.1.fna_post_extract.fna
154,0.3,1,19997422,5999227,GCA_009849855.1.fna_post_extract.fna
155,0.3,1,20008931,6002679,GCA_018593635.1.fna_post_extract.fna
156,0.3,1,20002686,6000806,GCA_009851565.1.fna_post_extract.fna
157,0.3,1,19994404,5998321,GCA_009850225.1.fna_post_extract.fna
158,0.3,1,19994295,5998288,GCA_016452505.1.fna_post_extract.fna
159,0.3,1,20009833,6002950,GCA_029855825.1.fna_post_extract.fna
160,0.3,1,20005869,6001761,GCA_016452505.1.fna_post_extract.fna
161,0.3,1,19998814,5999644,GCA_018593995.1.fna_post_extract.fna
162,0.3,1,19993790,5998137,GCA_020423435.1.fna_post_extract.fna
163,0.3,1,19997870,5999361,GCA_029855465.1.fna_post_extract.fna
164,0.3,1,19999977,5999993,GCA_009851585.1.fna_post_extract.fna
165,0.3,1,20007383,6002215,GCA_009848925.1.fna_post_extract.fna
166,0.3,1,19999758,5999927,GCA_009851585.1.fna_post_extract.fna
167,0.3,1,20001653,6000496,GCA_018594185.1.fna_post_extract.fna
168,0.3,1,19997932,5999380,GCA_009852045.1.fna_post_extract.fna
169,0.3,1,19997692,5999308,GCA_016452505.1.fna_post_extract.fna
170,0.3,1,20004882,6001465,GCA_009848925.1.fna_post_extract.fna
171,0.3,1,20000716,6000215,GCA_009852235.1.fna_post_extract.fna
172,0.3,1,20012111,6003633,GCA_009850085.1.fna_post_extract.fna
173,0.3,1,20001280,6000384,GCA_009849935.1.fna_post_extract.fna
174,0.3,1,19999854,5999956,GCA_018594175.1.fna_post_extract.fna
175,0.3,1,19997433,5999230,GCA_018594035.1.fna_post_extract.fna
176,0.3,1,19995653,5998696,GCA_020423645.1.fna_post_extract.fna
177,0.3,1,20003164,6000949,GCA_018592035.1.fna_post_extract.fna
178,0.3,1,19998373,5999512,GCA_009849145.1.fna_post_extract.fna
179,0.3,1,19998274,5999482,GCA_009848825.1.fna_post_extract.fna
180,0.3,1,19996792,5999038,GCA_009850065.1.fna_post_extract.fna
181,0.3,1,20002981,6000894,GCA_009849855.1.fna_post_extract.fna
182,0.3,1,19994849,5998455,GCA_018593715.1.fna_post_extract.fna
183,0.3,1,19999596,5999879,GCA_030015125.1.fna_post_extract.fna
184,0.3,1,19997269,5999181,GCA_009850185.1.fna_post_extract.fna
185,0.3,1,19997431,5999229,GCA_018594255.1.fna_post_extract.fna
186,0.3,1,20004128,6001238,GCA_009850175.1.fna_post_extract.fna
187,0.3,1,20003099,6000930,GCA_009849955.1.fna_post_extract.fna
188,0.3,1,19999376,5999813,GCA_009849545.1.fna_post_extract.fna
189,0.3,1,19996504,5998951,GCA_009848885.1.fna_post_extract.fna
190,0.3,1,20003991,6001197,GCA_009849065.1.fna_post_extract.fna
191,0.3,1,20002188,6000656,GCA_018593855.1.fna_post_extract.fna
192,0.3,1,19994649,5998395,GCA_009849985.1.fna_post_extract.fna
193,0.3,1,19999199,5999760,GCA_018594125.1.fna_post_extract.fna
194,0.3,1,19993416,5998025,GCA_009852305.1.fna_post_extract.fna
195,0.3,1,19993918,5998175,GCA_018593415.1.fna_post_extract.fna
196,0.3,1,19992623,5997787,GCA_018593955.1.fna_post_extract.fna
197,0.3,1,19998320,5999496,GCA_018593915.1.fna_post_extract.fna
198,0.3,1,19993715,5998114,GCA_009850205.1.fna_post_extract.fna
199,0.3,1,20000404,6000121,GCA_009850205.1.fna_post_extract.fna
200,0.3,1,20007148,6002144,GCA_009849235.1.fna_post_extract.fna
201,0.3,1,19999603,5999881,GCA_009849195.1.fna_post_extract.fna
202,0.3,1,19998816,5999645,GCA_009849055.1.fna_post_extract.fna
203,0.3,1,19999491,5999847,GCA_018593995.1.fna_post_extract.fna
204,0.3,1,20004010,6001203,GCA_009850135.1.fna_post_extract.fna
205,0.3,1,19998452,5999536,GCA_009848815.1.fna_post_extract.fna
206,0.3,1,20000210,6000063,GCA_018593735.1.fna_post_extract.fna
207,0.3,1,20005814,6001744,GCA_016452505.1.fna_post_extract.fna
208,0.3,1,20010254,6003076,GCA_029855825.1.fna_post_extract.fna
209,0.3,1,20006920,6002076,GCA_009848875.1.fna_post_extract.fna
210,0.3,1,19999404,5999821,GCA_009851975.1.fna_post_extract.fna
211,0.3,1,20002863,6000859,GCA_018593815.1.fna_post_extract.fna
212,0.3,1,20004253,6001276,GCA_009849855.1.fna_post_extract.fna
213,0.3,1,19997320,5999196,GCA_009849105.1.fna_post_extract.fna
214,0.3,1,20004304,6001291,GCA_018593735.1.fna_post_extract.fna
215,0.3,1,20003060,6000918,GCA_018593555.1.fna_post_extract.fna
216,0.3,1,19993760,5998128,GCA_009851605.1.fna_post_extract.fna
217,0.3,1,19998694,5999608,GCA_018593895.1.fna_post_extract.fna
218,0.3,1,20000781,6000234,GCA_009851585.1.fna_post_extract.fna
219,0.3,1,20000333,6000100,GCA_009851785.1.fna_post_extract.fna
220,0.3,1,20001914,6000574,GCA_018592035.1.fna_post_extract.fna
221,0.3,1,20000110,6000033,GCA_018593765.1.fna_post_extract.fna
222,0.3,1,19992542,5997763,GCA_009851715.1.fna_post_extract.fna
223,0.3,1,19996253,5998876,GCA_009851875.1.fna_post_extract.fna
224,0.3,1,19998811,5999643,GCA_009848965.1.fna_post_extract.fna
225,0.3,1,20005371,6001611,GCA_009851995.1.fna_post_extract.fna
226,0.3,1,20005888,6001766,GCA_029855465.1.fna_post_extract.fna
227,0.3,1,19999136,5999741,GCA_009849555.1.fna_post_extract.fna
228,0.3,1,19999020,5999706,GCA_018593755.1.fna_post_extract.fna
229,0.3,1,19999888,5999966,GCA_009850225.1.fna_post_extract.fna
230,0.3,1,20004714,6001414,GCA_009850205.1.fna_post_extract.fna
231,0.3,1,20005121,6001536,GCA_018594255.1.fna_post_extract.fna
232,0.3,1,19997417,5999225,GCA_009849015.1.fna_post_extract.fna
233,0.3,1,20000934,6000280,GCA_018593995.1.fna_post_extract.fna
234,0.3,1,19993076,5997923,GCA_009848825.1.fna_post_extract.fna
235,0.3,1,19993958,5998187,GCA_009849265.1.fna_post_extract.fna
236,0.3,1,19998124,5999437,GCA_009848745.1.fna_post_extract.fna
237,0.3,1,19996801,5999040,GCA_009851805.1.fna_post_extract.fna
238,0.3,1,19997889,5999367,GCA_018593735.1.fna_post_extract.fna
239,0.3,1,19995293,5998588,GCA_018593715.1.fna_post_extract.fna
240,0.3,1,19998565,5999570,GCA_009851875.1.fna_post_extract.fna
241,0.3,1,19990992,5997298,GCA_018593765.1.fna_post_extract.fna
242,0.3,1,20003480,6001044,GCA_018594175.1.fna_post_extract.fna
243,0.3,1,20003085,6000926,GCA_029855345.1.fna_post_extract.fna
244,0.3,1,19992377,5997713,GCA_020423455.1.fna_post_extract.fna
245,0.3,1,20003384,6001015,GCA_018594645.1.fna_post_extract.fna
246,0.3,1,19992277,5997683,GCA_009849355.1.fna_post_extract.fna
247,0.3,1,20004644,6001393,GCA_009850125.1.fna_post_extract.fna
248,0.3,1,19997712,5999314,GCA_009849935.1.fna_post_extract.fna
249,0.3,1,19999527,5999858,GCA_020423455.1.fna_post_extract.fna
250,0.3,1,19996546,5998964,GCA_009848855.1.fna_post_extract.fna
251,0.3,1,20004075,6001222,GCA_009850085.1.fna_post_extract.fna
252,0.3,1,20001061,6000318,GCA_029855565.1.fna_post_extract.fna
253,0.3,1,20005447,6001634,GCA_009851825.1.fna_post_extract.fna
254,0.3,1,19994012,5998204,GCA_018594095.1.fna_post_extract.fna
255,0.3,1,19993874,5998162,GCA_009849105.1.fna_post_extract.fna
256,0.3,1,20003057,6000917,GCA_009849185.1.fna_post_extract.fna
257,0.3,1,19999727,5999918,GCA_009852305.1.fna_post_extract.fna
258,0.3,1,20004780,6001434,GCA_016452505.1.fna_post_extract.fna
259,0.3,1,19992907,5997872,GCA_009850255.1.fna_post_extract.fna
260,0.3,1,20004550,6001365,GCA_009851545.1.fna_post_extract.fna
261,0.3,1,19994685,5998406,GCA_009848995.1.fna_post_extract.fna
262,0.3,1,19993560,5998068,GCA_018593675.1.fna_post_extract.fna
263,0.3,1,20001687,6000506,GCA_009849955.1.fna_post_extract.fna
264,0.3,1,19990822,5997247,GCA_009851565.1.fna_post_extract.fna
265,0.3,1,19997433,5999230,GCA_009852345.1.fna_post_extract.fna
266,0.3,1,20003871,6001161,GCA_009848825.1.fna_post_extract.fna
267,0.3,1,19999544,5999863,GCA_009850175.1.fna_post_extract.fna
268,0.3,1,20002537,6000761,GCA_009849425.1.fna_post_extract.fna
269,0.3,1,20005404,6001621,GCA_018593735.1.fna_post_extract.fna
270,0.3,1,20000568,6000170,GCA_009852235.1.fna_post_extract.fna
271,0.3,1,19995745,5998724,GCA_009851925.1.fna_post_extract.fna
272,0.3,1,19992159,5997648,GCA_009850085.1.fna_post_extract.fna
273,0.3,1,19995170,5998551,GCA_009850255.1.fna_post_extract.fna
274,0.3,1,19995644,5998693,GCA_018594235.1.fna_post_extract.fna
275,0.3,1,19998346,5999504,GCA_009852105.1.fna_post_extract.fna
276,0.3,1,19991088,5997326,GCA_018593675.1.fna_post_extract.fna
277,0.3,1,20001505,6000452,GCA_009849065.1.fna_post_extract.fna
278,0.3,1,19998592,5999578,GCA_018593635.1.fna_post_extract.fna
279,0.3,1,20001493,6000448,GCA_018594035.1.fna_post_extract.fna
280,0.3,1,20001839,6000552,GCA_009852195.1.fna_post_extract.fna
281,0.3,1,19999852,5999956,GCA_009849955.1.fna_post_extract.fna
282,0.3,1,19988015,5996404,GCA_009851845.1.fna_post_extract.fna
283,0.3,1,19999081,5999724,GCA_009850125.1.fna_post_extract.fna
284,0.3,1,20005079,6001524,GCA_009851875.1.fna_post_extract.fna
285,0.3,1,20003104,6000931,GCA_009849355.1.fna_post_extract.fna
286,0.3,1,20001281,6000384,GCA_009851585.1.fna_post_extract.fna
287,0.3,1,19991064,5997319,GCA_018594255.1.fna_post_extract.fna
288,0.3,1,20001691,6000507,GCA_018593995.1.fna_post_extract.fna
289,0.3,1,19995772,5998732,GCA_018593555.1.fna_post_extract.fna
290,0.3,1,20010237,6003071,GCA_009852305.1.fna_post_extract.fna
291,0.3,1,19986414,5995924,GCA_009852065.1.fna_post_extract.fna
292,0.3,1,19992616,5997785,GCA_009848855.1.fna_post_extract.fna
293,0.3,1,20000313,6000094,GCA_009851995.1.fna_post_extract.fna
294,0.3,1,19993364,5998009,GCA_009848805.1.fna_post_extract.fna
295,0.3,1,19997363,5999209,GCA_009850055.1.fna_post_extract.fna
296,0.3,1,19993453,5998036,GCA_009849145.1.fna_post_extract.fna
297,0.3,1,19999936,5999981,GCA_009849925.1.fna_post_extract.fna
298,0.3,1,19996295,5998888,GCA_009849385.1.fna_post_extract.fna
299,0.3,1,20000850,6000255,GCA_018594035.1.fna_post_extract.fna
300,0.3,1,20000781,6000234,GCA_018593755.1.fna_post_extract.fna
301,0.3,1,19995281,5998584,GCA_029855465.1.fna_post_extract.fna
302,0.3,1,20001764,6000529,GCA_009851905.1.fna_post_extract.fna
303,0.3,1,20003977,6001193,GCA_009851605.1.fna_post_extract.fna
304,0.3,1,20003885,6001166,GCA_009851565.1.fna_post_extract.fna
305,0.3,1,19996994,5999098,GCA_009849555.1.fna_post_extract.fna
306,0.3,1,20001547,6000464,GCA_009849925.1.fna_post_extract.fna
307,0.3,1,19997106,5999132,GCA_016453425.1.fna_post_extract.fna
308,0.3,1,20001776,6000533,GCA_009851965.1.fna_post_extract.fna
309,0.3,1,19999566,5999870,GCA_018593835.1.fna_post_extract.fna
310,0.3,1,19997434,5999230,GCA_018593635.1.fna_post_extract.fna
311,0.3,1,20000477,6000143,GCA_009852275.1.fna_post_extract.fna
312,0.3,1,19999881,5999964,GCA_020423645.1.fna_post_extract.fna
313,0.3,1,19994362,5998309,GCA_018593895.1.fna_post_extract.fna
314,0.3,1,19997112,5999134,GCA_018594025.1.fna_post_extract.fna
315,0.3,1,19994773,5998432,GCA_009851905.1.fna_post_extract.fna
316,0.3,1,20008323,6002497,GCA_016453425.1.fna_post_extract.fna
317,0.3,1,19999751,5999925,GCA_009851785.1.fna_post_extract.fna
318,0.3,1,19992618,5997785,GCA_009850255.1.fna_post_extract.fna
319,0.3,1,20005348,6001604,GCA_009849455.1.fna_post_extract.fna
320,0.3,1,19995152,5998546,GCA_009849425.1.fna_post_extract.fna
321,0.3,1,20001016,6000305,GCA_029855605.1.fna_post_extract.fna
322,0.3,1,20002201,6000660,GCA_009849005.1.fna_post_extract.fna
323,0.3,1,20001197,6000359,GCA_009851995.1.fna_post_extract.fna
324,0.3,1,20002921,6000876,GCA_009851925.1.fna_post_extract.fna
325,0.3,1,19999451,5999835,GCA_009849145.1.fna_post_extract.fna
326,0.3,1,20002794,6000838,GCA_029855565.1.fna_post_extract.fna
327,0.3,1,20003332,6001000,GCA_009848815.1.fna_post_extract.fna
328,0.3,1,20002617,6000785,GCA_009849935.1.fna_post_extract.fna
329,0.3,1,20000812,6000244,GCA_018593415.1.fna_post_extract.fna
330,0.3,1,20001810,6000543,GCA_009849555.1.fna_post_extract.fna
331,0.3,1,19994197,5998259,GCA_018594155.1.fna_post_extract.fna
332,0.3,1,20001280,6000384,GCA_018594155.1.fna_post_extract.fna
333,0.3,1,20000564,6000169,GCA_018594035.1.fna_post_extract.fna
334,0.3,1,20005689,6001707,GCA_029855625.1.fna_post_extract.fna
335,0.3,1,19996786,5999036,GCA_029855625.1.fna_post_extract.fna
336,0.3,1,20002692,6000808,GCA_009848815.1.fna_post_extract.fna
337,0.3,1,20002542,6000763,GCA_018593895.1.fna_post_extract.fna
338,0.3,1,19999279,5999784,GCA_018592035.1.fna_post_extract.fna
339,0.3,1,19993566,5998070,GCA_018593835.1.fna_post_extract.fna
340,0.3,1,19992290,5997687,GCA_018594155.1.fna_post_extract.fna
341,0.3,1,20001341,6000402,GCA_009850135.1.fna_post_extract.fna
342,0.3,1,19995502,5998651,GCA_009851925.1.fna_post_extract.fna
343,0.3,1,20000539,6000162,GCA_009851735.1.fna_post_extract.fna
344,0.3,1,19995728,5998718,GCA_018594185.1.fna_post_extract.fna
345,0.3,1,20004851,6001455,GCA_009848675.1.fna_post_extract.fna
346,0.3,1,19990049,5997015,GCA_018593715.1.fna_post_extract.fna
347,0.3,1,20001506,6000452,GCA_009848805.1.fna_post_extract.fna
348,0.3,1,20006315,6001894,GCA_009849385.1.fna_post_extract.fna
349,0.3,1,19995337,5998601,GCA_018593835.1.fna_post_extract.fna
350,0.3,1,19999106,5999732,GCA_018593895.1.fna_post_extract.fna
351,0.3,1,19996590,5998977,GCA_029855565.1.fna_post_extract.fna
352,0.3,1,20001962,6000589,GCA_018593765.1.fna_post_extract.fna
353,0.3,1,20003950,6001185,GCA_018594175.1.fna_post_extract.fna
354,0.3,1,19990821,5997246,GCA_018593995.1.fna_post_extract.fna
355,0.3,1,20003730,6001119,GCA_020423455.1.fna_post_extract.fna
356,0.3,1,20000478,6000143,GCA_009850135.1.fna_post_extract.fna
357,0.3,1,20000943,6000283,GCA_009848815.1.fna_post_extract.fna
358,0.3,1,20000126,6000038,GCA_009848965.1.fna_post_extract.fna
359,0.3,1,20005818,6001745,GCA_009851585.1.fna_post_extract.fna
360,0.3,1,19993447,5998034,GCA_009850065.1.fna_post_extract.fna
361,0.3,1,20004965,6001490,GCA_018594035.1.fna_post_extract.fna
362,0.3,1,19997831,5999349,GCA_009849985.1.fna_post_extract.fna
363,0.3,1,20000352,6000106,GCA_018593635.1.fna_post_extract.fna
364,0.3,1,19997902,5999371,GCA_018593735.1.fna_post_extract.fna
365,0.3,1,19998441,5999532,GCA_009851565.1.fna_post_extract.fna
366,0.3,1,20002147,6000644,GCA_009851785.1.fna_post_extract.fna
367,0.3,1,20000614,6000184,GCA_009851785.1.fna_post_extract.fna
368,0.3,1,20003528,6001058,GCA_029855605.1.fna_post_extract.fna
369,0.3,1,19996301,5998890,GCA_009849355.1.fna_post_extract.fna
370,0.3,1,20007711,6002313,GCA_009848825.1.fna_post_extract.fna
371,0.3,1,20000291,6000087,GCA_009850255.1.fna_post_extract.fna
372,0.3,1,20005031,6001509,GCA_009849025.1.fna_post_extract.fna
373,0.3,1,20008834,6002650,GCA_029855485.1.fna_post_extract.fna
374,0.3,1,19998741,5999622,GCA_018594255.1.fna_post_extract.fna
375,0.3,1,19995585,5998676,GCA_020423455.1.fna_post_extract.fna
376,0.3,1,19999042,5999713,GCA_018594155.1.fna_post_extract.fna
